,init,strategy,F,CR,x,valor
0,latinhypercube,rand1bin,0.5,0.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
1,latinhypercube,rand1bin,0.5,0.30000000000000004,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
2,latinhypercube,rand1bin,0.5,0.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
3,latinhypercube,rand1bin,0.5,0.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
4,latinhypercube,rand1bin,0.5,0.6000000000000001,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
5,latinhypercube,rand1bin,0.5,0.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
6,latinhypercube,rand1bin,0.5,0.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
7,latinhypercube,rand1bin,0.5,0.9000000000000001,"[ 0.00000000e+00  1.03468345e-11  8.71949616e-07  3.99251398e-05
  2.36059398e-04 -2.23133066e-04  2.27437012e-02 -5.82136137e-03
  3.65581075e-03  8.37919135e-03]",3.147956416013809e-12
8,latinhypercube,rand1bin,0.5,1.0,"[ 3.23155542e-07 -8.30878859e-04  2.20316815e-02  1.28324328e-01
 -4.63554640e-02  2.42630292e-01 -2.26507004e-01 -2.75690139e-01
 -1.47072448e-01  1.06049579e-01]",0.0005510997275697267
9,latinhypercube,rand1bin,0.6,0.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
10,latinhypercube,rand1bin,0.6,0.30000000000000004,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
11,latinhypercube,rand1bin,0.6,0.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
12,latinhypercube,rand1bin,0.6,0.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
13,latinhypercube,rand1bin,0.6,0.6000000000000001,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
14,latinhypercube,rand1bin,0.6,0.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
15,latinhypercube,rand1bin,0.6,0.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
16,latinhypercube,rand1bin,0.6,0.9000000000000001,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
17,latinhypercube,rand1bin,0.6,1.0,"[ 6.62921518e-09  5.64207462e-06  9.41735149e-04 -9.67907795e-03
 -2.43211145e-02 -5.53838402e-02  2.50138695e-02  6.70383588e-02
  3.58081948e-02  1.24210794e-01]",5.49312536427331e-08
18,latinhypercube,rand1bin,0.7,0.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
19,latinhypercube,rand1bin,0.7,0.30000000000000004,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
