,Mejor,Media,Std
0,0.28995799550544366,0.8890948182115539,0.34255294717398854
1,0.08646749855658128,0.5496394038100227,0.18554097729530336
2,0.07024201508344705,0.33477098354964424,0.15304583839278976
3,0.04936200553182712,0.20720587849107766,0.08883287971819534
4,0.005860331596495409,0.09877377734347965,0.0454244228034997
5,0.005860331596495409,0.0485789584862327,0.021654009056709837
6,0.005010773624362551,0.019255560765125447,0.00789725459000933
7,0.0018028747324976646,0.009117631765163746,0.004019074979411357
8,0.00042852268282920385,0.0035793749411009335,0.0015682405959391607
9,0.00042852268282920385,0.001950884554597386,0.0008269592749398611
10,0.00013718916482702997,0.0011627320461089828,0.0005527058239059357
11,0.00013718916482702997,0.0006087908176296288,0.0002629157204136291
12,0.00010960645720090593,0.00031115955083448526,0.00011074022656449388
13,6.641458163159588e-05,0.00019545725813964262,6.987315284574305e-05
14,2.370105322414992e-05,0.00011927095974288459,4.231112666917592e-05
15,2.370105322414992e-05,7.405910950960672e-05,2.54929007173822e-05
16,4.92039252840373e-06,3.725535877870942e-05,1.3859082403732569e-05
17,4.92039252840373e-06,2.2028904222372765e-05,7.771224066219957e-06
18,4.286711875278899e-06,1.1969584602769282e-05,4.625355529146836e-06
19,9.965544373162579e-07,6.995051531720614e-06,2.749545383205665e-06
20,9.965544373162579e-07,4.832346157927463e-06,1.6324618146272038e-06
21,3.2402145360406746e-07,3.901702705295894e-06,1.5805494579894557e-06
22,3.2402145360406746e-07,2.9438386054332453e-06,1.3042666376802498e-06
23,2.8876566445957165e-07,2.382860925342851e-06,1.0634137844008813e-06
24,2.8876566445957165e-07,2.1228758648038907e-06,9.729145413429024e-07
25,2.8876566445957165e-07,1.7919428449571785e-06,8.331440001717957e-07
26,2.8876566445957165e-07,1.428601948388545e-06,6.008151696413927e-07
27,1.228011530193815e-07,1.1626227379860631e-06,4.782679382009424e-07
28,1.228011530193815e-07,1.0903688774472927e-06,4.555502887986557e-07
29,1.228011530193815e-07,9.902880616225083e-07,4.2911307592297807e-07
30,1.228011530193815e-07,8.781271344012881e-07,3.809950459071439e-07
31,1.228011530193815e-07,8.688381146336558e-07,3.6950822862486135e-07
32,1.228011530193815e-07,8.034132948573146e-07,3.730427430591272e-07
33,1.228011530193815e-07,7.674589929436295e-07,3.7178249311926446e-07
34,1.228011530193815e-07,7.147617720241373e-07,3.4719568271159915e-07
35,4.833880496641927e-08,6.348628075764673e-07,3.1975418499964163e-07
36,4.833880496641927e-08,5.450419063459692e-07,2.426492558416457e-07
37,4.833880496641927e-08,4.139441489648663e-07,1.9085703283020813e-07
38,4.833880496641927e-08,4.108958900936106e-07,1.86078658708964e-07
39,4.833880496641927e-08,3.9737516894321663e-07,1.7258003312479642e-07
40,4.833880496641927e-08,3.9737516894321663e-07,1.7258003312479642e-07
41,4.833880496641927e-08,3.9434942879989935e-07,1.687090464113016e-07
42,4.833880496641927e-08,3.9434942879989935e-07,1.687090464113016e-07
43,4.833880496641927e-08,3.862579394633597e-07,1.590851702606748e-07
44,4.833880496641927e-08,3.862579394633597e-07,1.590851702606748e-07
45,4.833880496641927e-08,3.5202263358114985e-07,1.4286981779574598e-07
46,4.833880496641927e-08,3.5202263358114985e-07,1.4286981779574598e-07
47,4.833880496641927e-08,3.4920933057156496e-07,1.3939102186474102e-07
48,4.833880496641927e-08,3.338884284712954e-07,1.3078101511030713e-07
49,4.833880496641927e-08,3.063954403470902e-07,1.2852214558104312e-07
50,4.833880496641927e-08,3.063954403470902e-07,1.2852214558104312e-07
51,4.833880496641927e-08,2.966287178276506e-07,1.2001463426900324e-07
52,4.833880496641927e-08,2.8225291505630304e-07,1.1030118898779887e-07
53,4.833880496641927e-08,2.7501652584618145e-07,1.0297622515601607e-07
54,4.833880496641927e-08,2.6463879827667484e-07,1.0146626979346875e-07
55,4.833880496641927e-08,2.5259628500227137e-07,9.293226470247038e-08
56,4.833880496641927e-08,2.521621050612556e-07,9.223110006139434e-08
57,4.833880496641927e-08,2.4183109612467504e-07,9.23162335265083e-08
58,4.833880496641927e-08,2.155318945768091e-07,8.490156618433526e-08
59,4.833880496641927e-08,2.0481227663924167e-07,7.571450945236154e-08
60,4.833880496641927e-08,2.0481227663924167e-07,7.571450945236154e-08
61,4.833880496641927e-08,1.9803065222591972e-07,7.375487903053739e-08
62,4.833880496641927e-08,1.9732335805004467e-07,7.27590151320658e-08
63,4.833880496641927e-08,1.9065140887668686e-07,7.247924799544034e-08
64,4.833880496641927e-08,1.838151436267414e-07,6.769560803428315e-08
65,4.833880496641927e-08,1.838151436267414e-07,6.769560803428315e-08
66,4.833880496641927e-08,1.838151436267414e-07,6.769560803428315e-08
67,4.833880496641927e-08,1.7071402450177913e-07,6.30737404017954e-08
68,4.833880496641927e-08,1.630936499234451e-07,6.303962148379184e-08
69,4.833880496641927e-08,1.450403295945072e-07,6.004068753095332e-08
70,4.833880496641927e-08,1.4150207602960767e-07,5.798288274505629e-08
71,4.833880496641927e-08,1.3573813446672503e-07,5.4295594017539744e-08
