,Mejor,Media,Std
0,0.6511395409333441,1.377304625777871,0.26546643689657934
1,0.23134961140173288,0.793858909564811,0.21521895378045106
2,0.0983279578258809,0.3005921890943786,0.09636150335726945
3,0.019950841567807465,0.1019779721944766,0.040397925250086605
4,0.011881050996940258,0.040635834649345975,0.013232692362724747
5,0.009684517704200283,0.024315670505039442,0.006998531751632412
6,0.007467531171735803,0.015136129236310717,0.0037175214876402876
7,0.0045785282455695145,0.009339267790029944,0.0025594900498531574
8,0.0021834428760026136,0.00582337184851647,0.0016008008726301787
9,0.0004842462335848829,0.003383721746391558,0.0014160106722608755
10,0.0004842462335848829,0.0019822746111039613,0.000674123501546554
11,0.0004552321893019989,0.0012805241121434294,0.0003684543533433522
12,0.0003109179291194789,0.0010324459010929586,0.0002982296286789817
13,0.0002505832272812224,0.0007551893792604674,0.00023695152348355482
14,0.00017740825858073006,0.0005597377343463428,0.00017824621289284033
15,0.00017740825858073006,0.00041872668407526753,0.00011610612860410747
16,0.00014222880091092446,0.00030690543053674276,7.601633862066231e-05
17,0.00010179860730753594,0.00023139101352968077,6.920951444923055e-05
18,5.990348783855571e-05,0.00017217102123597515,5.486312572497839e-05
19,2.80145910861182e-05,0.00013191953522707307,3.6690000498004425e-05
20,2.80145910861182e-05,0.0001049330250218482,3.1452191084590774e-05
21,2.80145910861182e-05,8.042980187238987e-05,2.236954699910158e-05
22,2.679291087987834e-05,6.325026060022627e-05,1.7048279669472544e-05
23,2.679291087987834e-05,5.278512768615676e-05,1.1343890191433838e-05
24,2.110135628417868e-05,4.3246438139380095e-05,1.0809913390124802e-05
25,1.2404978715151617e-05,3.4031199319240515e-05,8.264885826315702e-06
26,1.2404978715151617e-05,2.887285470229544e-05,5.99862777888915e-06
27,1.2404978715151617e-05,2.6657099947798965e-05,5.081259415964426e-06
28,1.2404978715151617e-05,2.49130507713805e-05,4.469836554798021e-06
29,1.2404978715151617e-05,2.2658507614460244e-05,3.922710626854568e-06
30,1.0746434301135265e-05,2.042282855116728e-05,3.6814326792211494e-06
31,1.0746434301135265e-05,1.8480079469656634e-05,3.259081690674262e-06
32,1.0746434301135265e-05,1.8340161910555015e-05,3.178896269826531e-06
33,1.0746434301135265e-05,1.7308343555045043e-05,2.9426431122170684e-06
