,Mejor,Media,Std
0,0.3616671795198827,1.0865075309065648,0.3310497969665246
1,0.2724986023859745,0.538237112771569,0.12897165482079798
2,0.078085818090724,0.22640020646561715,0.07764480684621498
3,0.013946348910047335,0.07942834674260416,0.026286247003276357
4,0.004748488261317792,0.03809879427290923,0.013525282112631714
5,0.0034528422077271938,0.016034978795445663,0.0064362536514335714
6,0.0025243802490265035,0.007837449318899738,0.00245521024540198
7,0.0014510824326954264,0.003975762519866094,0.0011787248291583372
8,0.0011811484707114782,0.0033736596079398176,0.0011803951109223452
9,0.001330871825009833,0.0027053462585077,0.0007362970226025999
10,0.00040001724469202534,0.001857861406443309,0.0007683028290065332
11,0.0005098001960542419,0.0015407433929423631,0.00041462028951268594
12,0.0003953837787580009,0.0010797475922540395,0.000340648951582372
13,0.0005139260370082033,0.0008207334813802441,0.00018030935848554694
14,0.0001983769111280115,0.0006070997808449441,0.000167425416700191
15,0.0001158810946594525,0.0004286637513793591,0.0001252622962131338
16,0.00010671059709614855,0.0003155431222609822,9.634516351345127e-05
17,0.00011057041598145214,0.0002727196827239115,6.820062552974942e-05
18,8.133249945001886e-05,0.0001927861798419015,4.779568363949337e-05
19,4.331561945842159e-05,0.00013467204371706148,3.6643579800961936e-05
20,2.5745945273945566e-05,8.058739598746171e-05,2.412194392220265e-05
21,1.221821987224507e-05,5.04254569992025e-05,1.7887571282772197e-05
22,1.097241259107766e-05,2.888001577866497e-05,8.212100847979778e-06
23,1.0515584024922483e-05,2.3693107259510916e-05,7.222267307053416e-06
24,1.1070316000333916e-05,1.7905627663055332e-05,3.496927484149674e-06
25,1.2339876139052127e-05,1.8250231918104512e-05,3.651685007404793e-06
26,6.197150744523858e-06,1.4788650389162785e-05,3.0517989112018773e-06
27,6.660414723855234e-06,1.3212015184539542e-05,2.614548200873091e-06
28,7.79241670383675e-06,1.1099336198547177e-05,1.5516141337064147e-06
29,6.249444327715996e-06,9.30646464141088e-06,1.657837562179661e-06
30,5.921041274681155e-06,7.663651828913686e-06,1.054782371390298e-06
31,5.299927296831497e-06,7.594573198385124e-06,9.494965434598329e-07
32,3.4030427485706392e-06,7.289937171710288e-06,1.105177617038569e-06
33,4.847625491219373e-06,7.099005991587363e-06,8.320048670442039e-07
34,3.710959411000006e-06,5.841193439357847e-06,1.181265278162581e-06
35,3.0106809605925946e-06,5.386730792781006e-06,1.2340223663960031e-06
36,3.41387148442857e-06,5.284732251969983e-06,1.014552455820692e-06
37,3.301569309711759e-06,4.817230613253106e-06,9.186636632764398e-07
38,2.99060205019982e-06,4.478723122263983e-06,8.8634246644428e-07
39,2.9758623050435795e-06,4.362902632478521e-06,7.808852180682602e-07
40,2.8364831643417365e-06,4.349953893506212e-06,6.339768049248491e-07
41,2.874044003602734e-06,4.355762623864594e-06,9.335542328283481e-07
42,2.945979507676631e-06,4.736495353827858e-06,7.5596964257207e-07
43,2.8036560154353315e-06,4.302089382274611e-06,7.752861839186496e-07
44,2.846527236411032e-06,3.968069143145646e-06,6.394243500040842e-07
45,2.697959350765972e-06,3.860118606713076e-06,6.350153370106123e-07
46,3.175659936893818e-06,4.279292098437943e-06,7.671590325539764e-07
47,2.998733536841655e-06,4.129490378450149e-06,6.211315789270124e-07
48,2.784314999608758e-06,4.7155690274172355e-06,9.020639037708814e-07
49,2.7127046448324722e-06,4.171962739249735e-06,8.073803094573599e-07
50,2.7326003596507348e-06,4.306473173278522e-06,1.039173314602979e-06
51,3.1120318037953346e-06,4.3154898276119034e-06,7.401276153485536e-07
52,2.621958299109568e-06,4.408641687025348e-06,9.11587097185716e-07
53,2.7530977240453605e-06,4.104944091776289e-06,8.997691663634499e-07
54,2.7843400942493412e-06,3.791669878905491e-06,6.801610155021469e-07
55,2.7507187285215533e-06,3.8571277661565326e-06,6.267155661925633e-07
56,2.8146533025736113e-06,3.96452897981375e-06,7.817944129591905e-07
57,2.925444673214084e-06,4.25474477145853e-06,7.563645980036572e-07
58,2.682299659531778e-06,3.6821689433721848e-06,6.134467894834368e-07
59,2.8589388089565518e-06,4.285058431013176e-06,7.605762684228691e-07
60,2.724002197714963e-06,4.304992518403643e-06,1.1125326569984283e-06
61,2.803597731005671e-06,3.855206813536691e-06,6.935346691330086e-07
62,2.814190521072209e-06,4.328800754900126e-06,9.102345384091361e-07
63,2.789308336411043e-06,3.811526968072149e-06,7.615736583086387e-07
64,2.7727733515293545e-06,4.217777083971471e-06,6.714609424832081e-07
65,2.7863361249377155e-06,4.219177855444909e-06,8.911404241829363e-07
66,2.84414634827086e-06,3.9315391975098395e-06,6.158964790876219e-07
67,2.605136379909293e-06,4.128744841306059e-06,8.176732873715241e-07
68,2.757197317944624e-06,3.5990956379426114e-06,5.965665788936819e-07
69,2.7694440384763874e-06,3.941526902495909e-06,6.62842329754409e-07
70,2.7526075252752063e-06,3.7000808477165687e-06,6.195650484291006e-07
71,2.728824471636429e-06,3.4050943058372957e-06,4.834187179677285e-07
72,2.8763522320534622e-06,3.7193705419370913e-06,6.102474519788902e-07
73,2.806732613467294e-06,3.954740301891507e-06,7.434550281343094e-07
74,2.8303004904045905e-06,3.797620293155484e-06,6.996001673187784e-07
75,2.6724379174620597e-06,3.842770124674942e-06,6.935191251502013e-07
76,2.985074604406748e-06,3.9831161632168806e-06,7.095894159663685e-07
77,2.8649790309121715e-06,4.2047381910415325e-06,8.805007215795304e-07
78,2.7825136302238443e-06,3.838053228866221e-06,7.639981487490139e-07
79,2.78595056243127e-06,3.7330248882439744e-06,6.441039616790546e-07
80,2.6615588347899396e-06,3.4915478934002404e-06,5.169957660653313e-07
81,2.8335237069448926e-06,4.185129871884732e-06,7.535117315879947e-07
82,2.778403998076301e-06,4.014785110867046e-06,5.783463053770381e-07
83,2.6966400681461896e-06,3.879339568367543e-06,5.625728414258641e-07
84,2.6237978790443966e-06,4.054233363554305e-06,7.792356650814635e-07
85,3.005669744711698e-06,4.017813874418817e-06,6.091052805969871e-07
86,2.747158483538478e-06,4.092602861248787e-06,8.13524346342854e-07
87,2.792839228568e-06,4.070353984194003e-06,7.685342139550025e-07
88,2.740030114442332e-06,3.83194190622522e-06,7.043762744132765e-07
89,2.6206729148189944e-06,4.161009251320293e-06,8.320897974388416e-07
90,2.6939751241025477e-06,3.940299984554811e-06,7.254234871001401e-07
91,2.619822581715315e-06,4.191014871903422e-06,1.0399036636262327e-06
92,2.616953165694041e-06,4.1632181287889205e-06,9.131085553777315e-07
93,2.7172771035441525e-06,4.17934145204491e-06,8.502941449108024e-07
94,2.6510657870653973e-06,3.917427443494251e-06,7.182092524257024e-07
95,2.6505399729970336e-06,3.9766030159643316e-06,8.438611413431218e-07
96,2.6083703458167407e-06,4.3862777117195875e-06,7.81914937037903e-07
97,2.6838034361250418e-06,4.143523090888363e-06,9.22521175641037e-07
98,3.0719564277531135e-06,4.21563707823254e-06,6.801972634543961e-07
99,2.9327845420011487e-06,3.984668484560838e-06,6.061366879685766e-07
100,2.578331813714674e-06,4.036612969932519e-06,8.077346703094523e-07
101,2.6395196935645352e-06,3.745684994512768e-06,6.271075033047273e-07
102,2.9085668003514562e-06,3.970396740902498e-06,5.826941676193059e-07
103,2.7849509103912962e-06,4.249449494708971e-06,9.431689489695972e-07
104,2.813833363562166e-06,3.7987672464681233e-06,6.914993863181348e-07
105,2.956553608373715e-06,4.245388122302177e-06,6.232973089675936e-07
106,2.8593728544915486e-06,3.81825860656963e-06,6.354747621569491e-07
107,2.8426182624823184e-06,4.275945852750786e-06,9.088293921386293e-07
108,2.7395322457765206e-06,3.979620120724619e-06,6.608430857101284e-07
109,2.7707976128800757e-06,3.811994313968188e-06,5.656104849426433e-07
110,2.801693902842871e-06,4.029337206245946e-06,9.530031014032791e-07
111,2.673957386233525e-06,3.647529424939922e-06,6.83005551290641e-07
112,2.98989293933128e-06,4.189231013161099e-06,6.441692321705704e-07
113,2.7612767872771554e-06,4.0352173201436535e-06,8.081004523565264e-07
114,2.8487848278335302e-06,4.399793428792259e-06,7.874954967009806e-07
115,2.712855387138668e-06,3.65759645367209e-06,6.101565189659822e-07
116,2.7116825275113424e-06,3.9492090353205165e-06,7.325576667036398e-07
117,2.8116049916939312e-06,3.5388688292182186e-06,6.076806346024099e-07
118,2.722469417605916e-06,3.937546758492978e-06,6.580307836835249e-07
119,2.7897446429787767e-06,3.865545292077477e-06,6.940172242668788e-07
120,2.708527008912898e-06,3.967925070825239e-06,5.872461255426849e-07
121,2.8906208558691166e-06,4.083571784487032e-06,6.895555369394986e-07
122,2.671774116445765e-06,3.8081975420098904e-06,6.551598386348267e-07
123,2.947285381194099e-06,4.034733873588315e-06,6.432436276432808e-07
124,2.9462609220837516e-06,3.792715348469636e-06,5.5612735446979e-07
125,2.6754369874254586e-06,4.044464752527334e-06,9.411687170423362e-07
126,2.922562305700691e-06,3.7775131847940733e-06,4.879042317908722e-07
127,2.7190188268371756e-06,3.829505580244072e-06,7.712852723725505e-07
128,2.6260249316103616e-06,4.0598749749033004e-06,7.482542124410142e-07
129,2.6659803813945203e-06,3.990057291633196e-06,6.759742117098882e-07
130,2.8114156512724587e-06,4.012652150737954e-06,6.320020349526726e-07
131,2.780087644265656e-06,3.730798959516224e-06,5.443947254771311e-07
132,2.7330248099508394e-06,3.566690856981396e-06,5.85973353468386e-07
133,2.5940005198330602e-06,3.856299195172382e-06,7.761783941517041e-07
134,2.707467990457436e-06,4.057907296911657e-06,8.750920630655581e-07
135,2.724711360978583e-06,4.054134850771175e-06,8.027354504516352e-07
136,2.5679504600337145e-06,3.6555958488085933e-06,7.246040462988437e-07
137,2.860644182714856e-06,3.8029399902037657e-06,7.295687218902901e-07
138,2.704631045922421e-06,3.836878904385614e-06,7.354506303857636e-07
139,2.749267661088302e-06,3.4626854764804758e-06,4.483326919862559e-07
140,2.751039525938233e-06,3.4919756673321383e-06,5.133567073586444e-07
141,2.5635018056897014e-06,3.534554956619231e-06,5.397962636798816e-07
142,2.8756417052619242e-06,4.0906972127260226e-06,7.653545751998004e-07
143,3.019027079858418e-06,4.400587279820066e-06,7.975892049921765e-07
144,2.7304320183411714e-06,3.6372507502363084e-06,6.333394233468539e-07
145,2.705271115658932e-06,4.2749772968568335e-06,8.149659663494234e-07
146,2.6431199566155195e-06,3.930289118226455e-06,6.822010517322188e-07
147,2.6236331670108457e-06,3.63043562327767e-06,8.164390603593228e-07
148,2.5627248119637197e-06,3.5213034655774823e-06,5.692841932812425e-07
149,2.517065409910189e-06,3.548278113040581e-06,6.308109631049307e-07
150,2.7236355300010097e-06,4.223142335439618e-06,1.0631398112114261e-06
151,2.577481158019715e-06,3.971214268430762e-06,7.847307266763394e-07
152,2.6968273343243535e-06,3.881402577925069e-06,7.165671836493357e-07
153,2.5426627470120866e-06,3.786243228897981e-06,6.806565929572432e-07
154,2.77001532166409e-06,4.228269578591727e-06,9.091397954117716e-07
155,2.5466272171000886e-06,3.963734058814542e-06,7.896739020767976e-07
156,2.613345559050691e-06,3.891794896748145e-06,8.938664662177788e-07
157,2.5587867093146684e-06,3.799336099226136e-06,8.069079472400829e-07
158,2.6377775518948123e-06,3.7253374540196997e-06,7.408389620464168e-07
159,2.476194546989484e-06,4.1607575830276506e-06,8.085938478467064e-07
160,2.6829011119791757e-06,3.7071050042930056e-06,6.34511561498097e-07
161,2.80612180822579e-06,4.2040869680886685e-06,8.113852447521833e-07
162,2.570521770598155e-06,4.166468474553915e-06,9.515243309655248e-07
163,2.476794809805238e-06,4.049004744916315e-06,7.684380495880514e-07
164,2.5420122317035566e-06,3.6073194861560365e-06,6.592398855234288e-07
165,2.65699091189279e-06,3.7565012417353314e-06,7.867466052834549e-07
166,2.481036781900294e-06,3.4712442612797126e-06,5.050644415842487e-07
167,2.5967066658846204e-06,3.6642400869552795e-06,6.517638640297654e-07
168,2.471954974473236e-06,3.6745907041746867e-06,7.799964007596045e-07
169,2.54109289938876e-06,3.491573151835314e-06,5.872224721154185e-07
170,2.4834355309282254e-06,3.636587748213375e-06,6.068266540926346e-07
171,2.6193198644380254e-06,3.7930540455816565e-06,7.308746425930099e-07
172,2.4632408077618387e-06,4.273046170470484e-06,7.167857255044844e-07
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,,,
530,,,
531,,,
532,,,
533,,,
534,,,
535,,,
536,,,
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,,,
545,,,
546,,,
547,,,
548,,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,,,
556,,,
557,,,
558,,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,,
565,,,
566,,,
567,,,
568,,,
569,,,
570,,,
571,,,
572,,,
573,,,
574,,,
575,,,
576,,,
577,,,
578,,,
579,,,
580,,,
581,,,
582,,,
583,,,
584,,,
585,,,
586,,,
587,,,
588,,,
589,,,
590,,,
591,,,
592,,,
593,,,
594,,,
595,,,
596,,,
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,,,
606,,,
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,,,
652,,,
653,,,
654,,,
655,,,
656,,,
657,,,
658,,,
659,,,
660,,,
661,,,
662,,,
663,,,
664,,,
665,,,
666,,,
667,,,
668,,,
669,,,
670,,,
671,,,
672,,,
673,,,
674,,,
675,,,
676,,,
677,,,
678,,,
679,,,
680,,,
681,,,
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,,,
690,,,
691,,,
692,,,
693,,,
694,,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,,,
723,,,
724,,,
725,,,
726,,,
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,,,
