,Mejor,Media,Std
0,0.08644552574809215,0.43044570577210334,0.18577350947509988
1,0.06060939328963451,0.13767927328595989,0.050156882309446975
2,0.011850233678011897,0.04889766232585628,0.01781410849962327
3,0.005449005883901892,0.028246054044004102,0.013208780357861782
4,0.0027885478629886317,0.017890035225706813,0.007011949078595038
5,0.000950440901676967,0.014101050405802255,0.007068338826535812
6,0.0029372330936371436,0.011890438676070286,0.006517256009406618
7,0.0009290034169849495,0.007950468487187713,0.0041785288170966325
8,0.0014622456854010502,0.007161556569600131,0.0030679226748637017
9,0.0015666757282507325,0.005552820005566755,0.0018748505379851692
10,0.0002566334324381443,0.0056801345209590865,0.0025843159202405598
11,0.0007240442651973592,0.004449739263343389,0.0022778373644846647
12,0.0007629072537180374,0.004863943585392702,0.0022525005294363894
13,0.00011104126532507949,0.0035918129936507452,0.0015809074009149981
14,0.00033509721073527935,0.003361085453875009,0.001872448509779497
15,2.845723080804241e-05,0.001894705463474768,0.0009753922093797428
16,0.00034762398464036867,0.002552593658692175,0.0013830402491080405
17,0.00014735110154223902,0.0017921345970758726,0.0009438445609811091
18,0.00014353028750323783,0.001805713175603065,0.001030431045969521
19,0.00011428340610570648,0.001275198048450132,0.0006104924293719738
20,0.0003192338755378435,0.0012555225144369785,0.0005716200189705092
21,7.705282277991476e-05,0.0009191783348285476,0.00049780593161481
22,5.8655653016369264e-05,0.0008176686274698641,0.0004038676142109742
23,3.063890685157386e-05,0.0007245398833094908,0.0003665486607038287
24,0.0001313573701570318,0.0006306878775417685,0.0002409837849002468
25,8.044169280216062e-05,0.00040997515611766234,0.0001771474712723977
26,3.571990410088266e-05,0.0005389553221769744,0.00030397359231495145
27,2.6619999026099385e-05,0.00039516145571376186,0.00020385367703816432
28,0.00012553114477235566,0.00039781985139489766,0.00017447899016859942
29,7.75280301079397e-05,0.00031611876990460225,0.0001310596355137217
30,7.811224183314354e-05,0.00025814065871339873,9.791159474570263e-05
31,6.343878626115765e-05,0.00028892144432511683,0.00012242363799776923
32,5.939541190907011e-05,0.00020544925680440559,9.794284027531414e-05
33,6.6637676806067e-05,0.00023597401190285594,0.00010359748591895707
34,4.641748816641156e-05,0.00018534848197450556,8.443431823542884e-05
35,3.905061766128941e-05,0.0002354430011325439,0.00012416464084471417
36,3.6781528741865e-05,0.00016627287268420734,7.978408970582555e-05
37,2.6982835467448482e-05,0.0001191871381080162,5.3931773912686414e-05
38,2.7615272485367802e-05,0.00013581342614719057,6.848398811125192e-05
39,4.168553481412604e-05,0.00011221849213162986,5.044145882941876e-05
40,3.764214235684823e-05,0.0001290753561881886,5.8083849613226e-05
41,3.3201192940993866e-05,9.571550707930402e-05,3.5931927593609486e-05
42,2.8699915234245678e-05,0.00010308035246448415,4.054105362059861e-05
43,3.481071315695957e-05,9.721739597614745e-05,3.712078345676158e-05
44,3.3420550393475826e-05,8.587254533165943e-05,3.92298859494011e-05
45,2.665186944523099e-05,6.720817039466889e-05,2.5233794432463282e-05
46,2.8050776516879508e-05,6.476277872176262e-05,2.2227851117647337e-05
