,Mejor,Media,Std
0,0.5949408089221928,1.3707555069626018,0.43411537903404973
1,0.508104836794739,1.081790539857875,0.2795528449152578
2,0.34787172142424433,0.8066489006880688,0.18185235266793587
3,0.3317601214891415,0.6051624407166093,0.15951008427859042
4,0.11086403046676647,0.3794268859364213,0.10965162355351397
5,0.08697843567814348,0.2284849349847971,0.055953629571394596
6,0.06044034958669721,0.14181904906827306,0.04301557546919149
7,0.023108059416175337,0.06678463274999998,0.019632390053642725
8,0.011542344511488535,0.028209505758357126,0.00855572645698604
9,0.006280320293450449,0.01353181799502765,0.00341699465552971
10,0.0027064279977057257,0.006673284513858351,0.002044374963044433
11,0.0013653556496547215,0.002953484829908191,0.0006463827931143085
12,0.0009463699731482017,0.0015372318033566993,0.0003348844330233252
13,0.00026079680186682976,0.000829733970274379,0.0002470182387676982
14,0.00015513773111785933,0.00039091476445702727,0.0001373540693910204
15,2.9279389838011355e-05,0.0001685650136792093,4.6301912580351106e-05
16,1.9372394508224374e-05,6.969771695401269e-05,2.2817200747751344e-05
17,1.2857761892430099e-05,3.300132174792166e-05,9.225232282725925e-06
18,1.004190980723476e-05,1.9174901675683435e-05,3.827374928956882e-06
19,2.466651464912704e-06,1.2884682953115463e-05,3.9192234828233465e-06
20,9.588165522512826e-07,7.279129437405637e-06,2.873560627607814e-06
21,9.588165522512826e-07,3.913866834176167e-06,1.4519300869308228e-06
22,9.588165522512826e-07,2.6184299144854715e-06,7.464289163104633e-07
23,8.767870875630366e-07,2.0254961145057215e-06,5.284010479249284e-07
24,6.321949929074648e-07,1.8982061446825143e-06,5.256787986644498e-07
25,5.953550663492567e-07,1.5746681351884696e-06,4.983376949087033e-07
26,5.953550663492567e-07,1.5048303920336195e-06,4.7478929268228107e-07
27,1.9706108492625968e-07,1.223378079978975e-06,4.3538712396772665e-07
28,1.9706108492625968e-07,1.0249979189864751e-06,3.708649270205522e-07
29,1.9706108492625968e-07,8.582396085684714e-07,3.190118290579417e-07
30,1.9706108492625968e-07,8.038673169647301e-07,3.074577112814015e-07
31,1.5961785007949704e-07,7.250575777754789e-07,2.925039831808566e-07
32,1.5961785007949704e-07,7.038795461453995e-07,2.7191151052646155e-07
33,1.2112162810056125e-07,6.037024904909647e-07,2.6239868467220673e-07
34,1.143886484590165e-07,5.374469557279508e-07,2.454118587657949e-07
35,1.1262297825166205e-07,4.588159481214277e-07,2.1164482304920404e-07
36,1.1262297825166205e-07,4.274741569347966e-07,1.9226722838398726e-07
37,1.1262297825166205e-07,4.0793121999969677e-07,1.795378534543469e-07
38,1.1262297825166205e-07,4.0583712934594795e-07,1.7673613654465536e-07
39,1.1262297825166205e-07,3.975832985794157e-07,1.7055366040950225e-07
40,1.1262297825166205e-07,3.9391571251782595e-07,1.6634643700395016e-07
41,1.1262297825166205e-07,3.6721319202338065e-07,1.4073271139273284e-07
42,1.1262297825166205e-07,3.6097916843602767e-07,1.3676903467639328e-07
43,1.1262297825166205e-07,3.3764008689554384e-07,1.2245412321223754e-07
44,1.1262297825166205e-07,2.9949751144453806e-07,1.1320458137671959e-07
45,1.1262297825166205e-07,2.98803290517402e-07,1.1210167530925258e-07
46,1.1262297825166205e-07,2.921879604760019e-07,1.0793297078297414e-07
47,1.1262297825166205e-07,2.8980759770787194e-07,1.0499427866136589e-07
48,1.1262297825166205e-07,2.8787989722279434e-07,1.0247984422866936e-07
49,1.1262297825166205e-07,2.8588667479605213e-07,1.0008622327177059e-07
50,1.1262297825166205e-07,2.8588667479605213e-07,1.0008622327177059e-07
51,1.1262297825166205e-07,2.715894792673824e-07,9.354924998026411e-08
52,1.1262297825166205e-07,2.624594373396757e-07,9.101025370634266e-08
53,1.1262297825166205e-07,2.4860449637004434e-07,8.578685129679022e-08
54,8.864154754220738e-08,2.355724714669462e-07,8.420015153403969e-08
55,8.864154754220738e-08,2.3182834734984956e-07,8.079071379529742e-08
56,8.864154754220738e-08,2.318059740622758e-07,8.075526519665529e-08
57,8.864154754220738e-08,2.252222609781915e-07,7.836484482168343e-08
58,8.864154754220738e-08,2.1419263803351109e-07,7.240270159045223e-08
59,8.864154754220738e-08,2.0903617832761715e-07,6.767989809681644e-08
60,8.864154754220738e-08,2.074163641740646e-07,6.53280215908795e-08
61,8.864154754220738e-08,2.0095183982058168e-07,6.23887516025183e-08
62,8.864154754220738e-08,1.9022511785687605e-07,5.63814238584091e-08
63,8.864154754220738e-08,1.9022511785687605e-07,5.63814238584091e-08
64,8.864154754220738e-08,1.8954128444601453e-07,5.5405233153937614e-08
65,8.864154754220738e-08,1.8954128444601453e-07,5.5405233153937614e-08
66,6.234869156341438e-08,1.8249694786868583e-07,5.7724856195591954e-08
67,6.234869156341438e-08,1.8249694786868583e-07,5.7724856195591954e-08
68,6.234869156341438e-08,1.8229573729098227e-07,5.742835445617431e-08
69,6.234869156341438e-08,1.7644063118454023e-07,5.184439457972149e-08
70,6.234869156341438e-08,1.7644063118454023e-07,5.184439457972149e-08
71,6.234869156341438e-08,1.7405007928395135e-07,4.966693478331898e-08
72,6.234869156341438e-08,1.690900167746792e-07,4.8738549525448097e-08
73,6.234869156341438e-08,1.6552057491606603e-07,4.6093197080345636e-08
74,6.234869156341438e-08,1.6552057491606603e-07,4.6093197080345636e-08
75,6.234869156341438e-08,1.6500914615912013e-07,4.53005029226705e-08
76,6.234869156341438e-08,1.6500914615912013e-07,4.53005029226705e-08
77,6.234869156341438e-08,1.621543148000916e-07,4.313994442020148e-08
78,6.234869156341438e-08,1.6111255283927437e-07,4.1796455756348986e-08
79,6.234869156341438e-08,1.6111255283927437e-07,4.1796455756348986e-08
80,6.234869156341438e-08,1.5487778326913585e-07,3.938619692725486e-08
81,6.234869156341438e-08,1.5487778326913585e-07,3.938619692725486e-08
82,6.234869156341438e-08,1.5214494420863602e-07,3.8417080647148456e-08
83,6.234869156341438e-08,1.4974601404285925e-07,3.7177450685024384e-08
84,6.234869156341438e-08,1.4974601404285925e-07,3.7177450685024384e-08
85,6.234869156341438e-08,1.4974601404285925e-07,3.7177450685024384e-08
86,6.234869156341438e-08,1.4726428005828378e-07,3.6112794359435666e-08
87,6.234869156341438e-08,1.4325362207911552e-07,3.335738267220397e-08
88,6.234869156341438e-08,1.4067683479239415e-07,3.200432457949574e-08
89,6.234869156341438e-08,1.4067683479239415e-07,3.200432457949574e-08
90,6.234869156341438e-08,1.398894418310056e-07,3.0838635943265964e-08
91,6.234869156341438e-08,1.398894418310056e-07,3.0838635943265964e-08
92,6.234869156341438e-08,1.3892606353710857e-07,2.9606974660666e-08
93,6.234869156341438e-08,1.3892606353710857e-07,2.9606974660666e-08
94,6.234869156341438e-08,1.3892606353710857e-07,2.9606974660666e-08
95,6.234869156341438e-08,1.360497595703976e-07,2.8904936826486094e-08
96,6.234869156341438e-08,1.3317768112005835e-07,2.8241268151889853e-08
97,6.234869156341438e-08,1.3061375722216742e-07,2.7034182112823565e-08
98,6.234869156341438e-08,1.3061375722216742e-07,2.7034182112823565e-08
99,6.234869156341438e-08,1.3061375722216742e-07,2.7034182112823565e-08
100,6.234869156341438e-08,1.3061375722216742e-07,2.7034182112823565e-08
101,6.234869156341438e-08,1.3061375722216742e-07,2.7034182112823565e-08
102,6.234869156341438e-08,1.296115729279808e-07,2.5926436347844913e-08
103,6.234869156341438e-08,1.296115729279808e-07,2.5926436347844913e-08
104,6.234869156341438e-08,1.296115729279808e-07,2.5926436347844913e-08
105,6.234869156341438e-08,1.286582684926819e-07,2.501550253685726e-08
106,6.234869156341438e-08,1.286582684926819e-07,2.501550253685726e-08
107,6.234869156341438e-08,1.286582684926819e-07,2.501550253685726e-08
108,6.234869156341438e-08,1.286582684926819e-07,2.501550253685726e-08
109,6.234869156341438e-08,1.286582684926819e-07,2.501550253685726e-08
110,6.234869156341438e-08,1.2795627690256745e-07,2.4284165606053514e-08
111,6.234869156341438e-08,1.2795627690256745e-07,2.4284165606053514e-08
112,6.234869156341438e-08,1.2777961555479547e-07,2.404373227458881e-08
113,4.857686978075462e-08,1.240782495448374e-07,2.7299948995391452e-08
114,4.857686978075462e-08,1.240782495448374e-07,2.7299948995391452e-08
115,4.857686978075462e-08,1.2208628710445807e-07,2.688117081548652e-08
116,4.857686978075462e-08,1.199909982931922e-07,2.6376438740481468e-08
117,4.857686978075462e-08,1.199909982931922e-07,2.6376438740481468e-08
118,4.857686978075462e-08,1.199909982931922e-07,2.6376438740481468e-08
119,4.857686978075462e-08,1.199909982931922e-07,2.6376438740481468e-08
120,4.857686978075462e-08,1.1739907281507625e-07,2.45666380126354e-08
121,4.857686978075462e-08,1.1576978210828992e-07,2.37229419561534e-08
