,Mejor,Media,Std
0,0.000476579726461492,0.001066146078347661,0.00023377005278754805
1,0.000476579726461492,0.0008857401740956421,0.0001395805474876621
2,0.000476579726461492,0.0007024506563793225,0.00012251412541780329
3,0.00031179004832424385,0.000506316779907409,7.485208941976594e-05
4,0.0002397007082862012,0.0003555654929939619,4.2079800344683466e-05
5,0.0001790357520818487,0.00026951699888857204,4.2082200636543825e-05
6,0.0001421776805449507,0.00018770545610626645,1.9803315664581347e-05
7,9.492204606596174e-05,0.00014275436086687776,1.5915838614167437e-05
8,7.569198430533513e-05,0.00010851858752105453,1.2240474661953581e-05
9,7.569198430533513e-05,9.246308304371496e-05,6.009111608640881e-06
10,6.57576592469675e-05,8.296134458063289e-05,5.530331398678624e-06
11,6.486623142032583e-05,7.539843141783163e-05,3.744483544102838e-06
12,5.6856135122182106e-05,7.183253861292597e-05,3.748024860565434e-06
13,4.9412389939872276e-05,6.373349610677873e-05,4.261472642738795e-06
14,3.7294998474038244e-05,5.5748517537982205e-05,4.288101164441774e-06
15,3.7294998474038244e-05,4.688260513591538e-05,3.508624037908346e-06
16,3.0404768602948792e-05,3.732287548287519e-05,3.3136565794897344e-06
17,1.772529245430924e-05,2.5968625246712406e-05,3.4688443863545367e-06
18,1.2253356392958622e-05,1.828022106168608e-05,2.1692421382609887e-06
19,9.339744457273701e-06,1.2162343964777842e-05,1.2271695652352711e-06
20,4.4988919176804745e-06,6.992196106603684e-06,1.171895699804895e-06
21,2.2540714475367068e-06,3.55034048919399e-06,7.941540763962331e-07
22,1.2983509019155255e-06,1.965574248840101e-06,2.6187800942938614e-07
23,8.245486455774754e-07,1.0304513161866184e-06,1.1115138691842922e-07
24,2.936161773085853e-07,5.287967563854331e-07,1.1382175953447219e-07
25,1.6049589462973633e-07,2.822039576069255e-07,4.9660199975778405e-08
26,5.1496455805909024e-08,1.2154713175319977e-07,3.098324548568869e-08
27,2.237869942782341e-08,5.918042007746048e-08,1.3653911880486134e-08
28,1.9592713440998764e-08,2.9636897233547295e-08,5.41398239524489e-09
29,7.583407293006347e-09,1.4734701730505789e-08,3.3308420970545805e-09
30,3.194047876688667e-09,7.306655133083455e-09,1.5661346052461636e-09
31,1.585476390809832e-09,3.788151554708087e-09,9.345100372986677e-10
32,6.365857124546316e-10,1.6535080052771464e-09,3.713261151197756e-10
33,5.695537095652225e-10,8.648412664668474e-10,1.3117575964915617e-10
34,3.004008710894404e-10,5.435855140293337e-10,1.1838320631742618e-10
35,2.2530060426855393e-10,3.813792532474008e-10,8.150160625401941e-11
36,1.4740257906225245e-10,3.2356773797479976e-10,6.325885018999288e-11
37,1.4740257906225245e-10,2.825036492197707e-10,5.217069252767983e-11
38,1.4740257906225245e-10,2.6046340396397507e-10,4.192333952641811e-11
39,1.0362003097749446e-10,2.3812417919364155e-10,4.594114226076668e-11
40,1.0362003097749446e-10,2.206184614881771e-10,4.120929579797873e-11
41,1.0362003097749446e-10,2.1438777100551909e-10,4.017707294557802e-11
42,1.0362003097749446e-10,2.0810618341642414e-10,3.6969835735124804e-11
43,1.0362003097749446e-10,1.9878573076209902e-10,3.873077984455646e-11
44,1.0362003097749446e-10,1.9060854186963977e-10,3.7996841957825606e-11
45,1.0362003097749446e-10,1.8065609426238053e-10,3.496620151737316e-11
46,1.0362003097749446e-10,1.751756894403498e-10,3.307154673118206e-11
47,1.0362003097749446e-10,1.7397390322167857e-10,3.213024250419695e-11
48,1.0362003097749446e-10,1.7288065935483577e-10,3.1272701542469984e-11
49,1.0362003097749446e-10,1.7171075385469655e-10,3.007173283800534e-11
50,1.0362003097749446e-10,1.7171075385469655e-10,3.007173283800534e-11
51,1.0362003097749446e-10,1.7135183730710758e-10,2.9697543990314706e-11
52,1.0362003097749446e-10,1.68986774413185e-10,2.8785084535993182e-11
53,1.0362003097749446e-10,1.68986774413185e-10,2.8785084535993182e-11
54,1.0362003097749446e-10,1.6801305347443365e-10,2.8127273703241237e-11
55,1.0362003097749446e-10,1.6698539832805384e-10,2.7517804648005968e-11
56,1.0362003097749446e-10,1.6350532202417863e-10,2.7133767166429774e-11
57,1.0362003097749446e-10,1.628017715029392e-10,2.652177840213797e-11
58,1.0362003097749446e-10,1.5812845646161046e-10,2.693748344719443e-11
59,1.0362003097749446e-10,1.579162768645785e-10,2.6701816280051913e-11
60,1.0362003097749446e-10,1.563699430600274e-10,2.614328497442559e-11
61,8.675631240396378e-11,1.4864993337533223e-10,2.7634939966481886e-11
62,8.675631240396378e-11,1.4673846271155992e-10,2.7109829663019326e-11
63,8.675631240396378e-11,1.4673846271155992e-10,2.7109829663019326e-11
64,8.675631240396378e-11,1.4287212758582072e-10,2.6707083018951487e-11
65,8.675631240396378e-11,1.4287212758582072e-10,2.6707083018951487e-11
66,8.675631240396378e-11,1.412119211253871e-10,2.5804256459038965e-11
67,8.675631240396378e-11,1.412119211253871e-10,2.5804256459038965e-11
68,8.675631240396378e-11,1.4041404675736045e-10,2.5024445276647355e-11
69,8.675631240396378e-11,1.3869072571998965e-10,2.4319456384333338e-11
70,7.738073800531424e-11,1.3477386026194972e-10,2.503829082579796e-11
71,7.738073800531424e-11,1.3396400756824125e-10,2.4307629671838655e-11
72,7.738073800531424e-11,1.3304250503971271e-10,2.3185903233206006e-11
73,7.738073800531424e-11,1.3304250503971271e-10,2.3185903233206006e-11
74,7.738073800531424e-11,1.3198951628596203e-10,2.2491715192727945e-11
75,7.738073800531424e-11,1.3198951628596203e-10,2.2491715192727945e-11
76,7.738073800531424e-11,1.3198951628596203e-10,2.2491715192727945e-11
77,6.831115602285358e-11,1.2864992908149202e-10,2.4414997332486545e-11
78,6.831115602285358e-11,1.2864992908149202e-10,2.4414997332486545e-11
79,6.831115602285358e-11,1.2864992908149202e-10,2.4414997332486545e-11
80,6.831115602285358e-11,1.2661693089616615e-10,2.4211883068032847e-11
81,6.831115602285358e-11,1.2661693089616615e-10,2.4211883068032847e-11
82,6.831115602285358e-11,1.239673074955097e-10,2.4087057295166685e-11
83,6.831115602285358e-11,1.239673074955097e-10,2.4087057295166685e-11
84,6.831115602285358e-11,1.239673074955097e-10,2.4087057295166685e-11
85,6.831115602285358e-11,1.2171917561576554e-10,2.4461339849241674e-11
86,6.831115602285358e-11,1.2097035799485285e-10,2.3827357713735686e-11
87,6.831115602285358e-11,1.2097035799485285e-10,2.3827357713735686e-11
88,6.831115602285358e-11,1.2097035799485285e-10,2.3827357713735686e-11
89,6.831115602285358e-11,1.2097035799485285e-10,2.3827357713735686e-11
90,6.831115602285358e-11,1.1683862570409542e-10,2.3188490436822185e-11
91,6.831115602285358e-11,1.1683862570409542e-10,2.3188490436822185e-11
92,6.831115602285358e-11,1.1683862570409542e-10,2.3188490436822185e-11
93,6.831115602285358e-11,1.1469526509742709e-10,2.3237660824464877e-11
94,6.831115602285358e-11,1.1469526509742709e-10,2.3237660824464877e-11
95,6.831115602285358e-11,1.1462323525225548e-10,2.313861463715656e-11
96,6.831115602285358e-11,1.1462323525225548e-10,2.313861463715656e-11
97,6.831115602285358e-11,1.1462323525225548e-10,2.313861463715656e-11
