,Mejor,Media,Std
0,0.0018470861964456481,0.0075355556638757645,0.002591600202356405
1,0.0006415301271939781,0.00192165884319538,0.0006111612620674885
2,0.000325934955931061,0.0008067259492823927,0.0001834030374821133
3,0.00016716357646440219,0.00032240577314493225,7.211380525644867e-05
4,7.160190377063614e-05,0.00016334744144871655,3.721758935378116e-05
5,3.217014249044501e-05,9.164600676369272e-05,2.091970086062338e-05
6,2.4272501420118656e-05,4.795330196054885e-05,1.0395533616068595e-05
7,1.2639814268572603e-05,2.4135520358552026e-05,4.350921823313692e-06
8,5.76129118451566e-06,1.2898402347011865e-05,3.0602536305688897e-06
9,3.496843281730064e-06,6.683489712618592e-06,1.406933582218596e-06
10,1.7805328307444221e-06,3.4395568081353924e-06,6.112128925865776e-07
11,7.00165743340428e-07,1.7421243221913866e-06,3.600269827750632e-07
12,3.3607214883999747e-07,9.079045807627859e-07,2.5980650394711393e-07
13,2.467871798476373e-07,4.933305038146143e-07,1.0761022277685074e-07
14,1.487063634306837e-07,2.788041126956453e-07,6.204852143555117e-08
15,5.641169295590455e-08,1.3929236332888735e-07,2.9893396181893525e-08
16,5.280800612220952e-08,8.101693537151971e-08,1.2812091169724169e-08
17,2.510573377786065e-08,4.200638571020657e-08,8.644041037627666e-09
18,7.263059690670412e-09,2.130698794787708e-08,5.8806370516135704e-09
19,4.493048224574363e-09,9.495292418329102e-09,2.4831544607564886e-09
20,1.9925711941072967e-09,4.395413669871733e-09,1.3408710316850465e-09
21,1.0686173138786706e-09,2.034535731683056e-09,4.1554855039196716e-10
22,5.654017313878744e-10,1.0383314134617109e-09,2.1130044751293712e-10
23,1.1737667227440076e-10,5.403881246674768e-10,1.4710893435723665e-10
24,7.09706108944261e-11,2.1836412385824912e-10,6.80808823395389e-11
25,3.896883435306725e-11,1.0808019185675792e-10,2.9966646512560215e-11
26,3.604864322974021e-11,6.364600414665432e-11,1.3391008067684665e-11
27,2.450178214236675e-11,3.4625943150261286e-11,5.878196762318591e-12
28,1.0136024595559607e-11,2.1824752006906905e-11,4.359655215549351e-12
29,3.119889922923292e-12,1.2675064222540348e-11,3.059153486195844e-12
30,3.119889922923292e-12,7.651553118899044e-12,1.4966781736540657e-12
31,1.5184002367295245e-12,3.900114688168842e-12,1.0278006405173255e-12
32,8.589040015315827e-13,2.0890950740201646e-12,5.491817408225297e-13
33,3.7726209665377003e-13,1.1285283554589232e-12,2.807517660729067e-13
34,2.3467610868585055e-13,5.653903037464607e-13,1.2656326101732513e-13
35,1.6360639779371078e-13,3.3955526170003795e-13,7.479697168706757e-14
36,5.818792478172716e-14,2.0212283325457555e-13,4.3386778500807826e-14
37,5.818792478172716e-14,1.4149891304951355e-13,3.179384056977036e-14
38,3.0148985508171696e-14,8.892065143296419e-14,2.2482886022339232e-14
39,3.0148985508171696e-14,6.999360682114619e-14,1.4941669771092526e-14
40,3.0148985508171696e-14,5.882386049185274e-14,9.845882424266303e-15
41,3.0148985508171696e-14,5.274526696860034e-14,9.087222446954513e-15
42,2.397830142250716e-14,4.673060807921417e-14,9.049040454011521e-15
43,2.397830142250716e-14,4.482339199205412e-14,7.736779553426212e-15
44,1.9523789786203654e-14,3.870455290270275e-14,8.639176587962131e-15
45,1.9523789786203654e-14,3.818567513929646e-14,8.22045923474039e-15
46,1.9523789786203654e-14,3.446832951947549e-14,6.89485482551721e-15
47,1.9523789786203654e-14,3.318609213899577e-14,6.51763289519782e-15
48,1.385157663348432e-14,3.121928655449661e-14,6.5880473950112364e-15
49,1.385157663348432e-14,2.9488077448729997e-14,5.462112165770203e-15
50,1.385157663348432e-14,2.8748978130932096e-14,5.0274033999497154e-15
51,1.385157663348432e-14,2.7556254499737928e-14,4.802159848304231e-15
52,1.385157663348432e-14,2.7147822309361075e-14,4.4727773995441865e-15
53,1.385157663348432e-14,2.69115414161307e-14,4.351637455789551e-15
54,1.385157663348432e-14,2.6633088680567893e-14,4.119372880926295e-15
55,9.917849442291714e-15,2.5281486050459887e-14,4.942421679994946e-15
